구분,총인구수(남),총인구수(여),내국인(세대수),내국인(남),내국인(여),외국인(남),외국인(여)
안산시,381581,357734,279939,351893,334909,29688,22825
상록구,195840,188834,152531,190866,183775,4974,5059
일동,14671,14340,11736,14327,13946,344,394
이동,16335,14695,14492,15231,13591,1104,1104
사1동,20636,19200,17514,20093,18557,543,643
사2동,18217,17844,12843,18036,17618,181,226
사3동,11111,10161,7082,10170,9477,941,684
본오1동,22863,21666,18651,22302,21164,561,502
본오2동,15289,15713,11858,15018,15407,271,306
본오3동,12025,12222,9735,11602,11731,423,491
부곡동,12532,12081,9674,12420,11887,112,194
월피동,23349,22357,17881,23143,22075,206,282
성포동,13125,13572,8895,13111,13535,14,37
반월동,10358,10047,8046,10175,9924,183,123
안산동,5329,4936,4124,5238,4863,91,73
단원구,185741,168900,127408,161027,151134,24714,17766
와동,23974,21881,19135,23361,21145,613,736
고잔1동,10749,10653,8429,10549,10390,200,263
고잔2동,10887,11056,9028,10787,10931,100,125
호수동,24655,24422,16550,24484,24276,171,146
원곡본동,29695,24733,15444,17797,15004,11898,9729
원곡1동,5536,4865,2816,2982,2670,2554,2195
원곡2동,8356,8279,5325,8253,8167,103,112
초지동,26956,21564,16259,21898,20986,5058,578
선부1동,6747,6367,5628,6351,5965,396,402
선부2동,15177,13194,10415,12137,10320,3040,2874
선부3동,18617,17885,13999,18095,17328,522,557
대부동,4392,4001,4380,4333,3952,59,49
